set_type,species_code,bin,selectivity
FAD,BET,0,0.010483841
FAD,BET,1,0.986947593
FAD,BET,2,0.957030871
FAD,BET,3,0.870405067
FAD,BET,4,0.773125477
FAD,BET,5,0.691384291
FAD,BET,6,0.594331485
FAD,BET,7,0.49650925
FAD,BET,8,0.407807226
FAD,BET,9,0.316098139
FAD,BET,10,0.202102969
FAD,BET,11,0.10520797
FAD,BET,12,0.047190845
FAD,BET,13,0.026768522
FAD,BET,14,0.013436686
FAD,BET,15,0.009073821
FAD,BET,16,0.005452194
FAD,BET,17,0.003694154
FAD,BET,18,0.002431298
FAD,BET,19,0.001781863
FAD,BET,20,0.001248793
FAD,BET,21,8.09E-04
FAD,BET,22,4.46E-04
FAD,BET,23,1.45E-04
FAD,BET,24,1.38E-05
FAD,BET,25,0
FAD,BET,26,0
FAD,BET,27,0
FAD,BET,28,0
FAD,BET,29,0
FAD,BET,30,0
FAD,BET,31,0
FAD,BET,32,0
FAD,BET,33,0
FAD,BET,34,0
FAD,BET,35,0
FAD,BET,36,0
FAD,BET,37,0
FAD,BET,38,0
FAD,BET,39,0
FAD,BET,40,0
DEL,BET,0,0.062453093
DEL,BET,1,0.78930554
DEL,BET,2,0.999999993
DEL,BET,3,0.999999993
DEL,BET,4,0.999999993
DEL,BET,5,0.999999994
DEL,BET,6,0.999999993
DEL,BET,7,0.999999993
DEL,BET,8,0.999999993
DEL,BET,9,0.999999993
DEL,BET,10,0.999999977
DEL,BET,11,0.941695811
DEL,BET,12,0.658523369
DEL,BET,13,0.433833862
DEL,BET,14,0.210554554
DEL,BET,15,0.122567828
DEL,BET,16,0.052562654
DEL,BET,17,0.025358096
DEL,BET,18,0.011287464
DEL,BET,19,0.006292563
DEL,BET,20,0.003384708
DEL,BET,21,0.001756619
DEL,BET,22,8.80E-04
DEL,BET,23,4.25E-04
DEL,BET,24,2.91E-04
DEL,BET,25,1.98E-04
DEL,BET,26,8.91E-05
DEL,BET,27,5.90E-05
DEL,BET,28,5.90E-05
DEL,BET,29,3.87E-05
DEL,BET,30,2.51E-05
DEL,BET,31,1.62E-05
DEL,BET,32,1.62E-05
DEL,BET,33,1.03E-05
DEL,BET,34,1.03E-05
DEL,BET,35,6.55E-06
DEL,BET,36,6.55E-06
DEL,BET,37,6.55E-06
DEL,BET,38,4.11E-06
DEL,BET,39,4.11E-06
DEL,BET,40,4.11E-06
NOA,BET,0,0.0625
NOA,BET,1,0.78930554
NOA,BET,2,0.999999993
NOA,BET,3,0.999999993
NOA,BET,4,0.999999993
NOA,BET,5,0.999999994
NOA,BET,6,0.999999993
NOA,BET,7,0.999999993
NOA,BET,8,0.999999993
NOA,BET,9,0.999999993
NOA,BET,10,0.999999977
NOA,BET,11,0.941695811
NOA,BET,12,0.658523369
NOA,BET,13,0.433833862
NOA,BET,14,0.210554554
NOA,BET,15,0.122567828
NOA,BET,16,0.052562654
NOA,BET,17,0.025358096
NOA,BET,18,0.011287464
NOA,BET,19,0.006292563
NOA,BET,20,0.003384708
NOA,BET,21,0.001756619
NOA,BET,22,8.80E-04
NOA,BET,23,4.25E-04
NOA,BET,24,2.91E-04
NOA,BET,25,1.98E-04
NOA,BET,26,8.91E-05
NOA,BET,27,5.90E-05
NOA,BET,28,5.90E-05
NOA,BET,29,3.87E-05
NOA,BET,30,2.51E-05
NOA,BET,31,1.62E-05
NOA,BET,32,1.62E-05
NOA,BET,33,1.03E-05
NOA,BET,34,1.03E-05
NOA,BET,35,6.55E-06
NOA,BET,36,6.55E-06
NOA,BET,37,6.55E-06
NOA,BET,38,4.11E-06
NOA,BET,39,4.11E-06
NOA,BET,40,4.11E-06
